,Цена квартиры,Тип квартиры,Станция метро,Минут до метро,Регион,Кол-во комнат,Площадь,Жилая площадь,Площадь кухни,Этаж,Ремонт
9249,72000000.0,Вторичноё жильё,Тверская,10.0,Москва,3.0,90.0,47.6,14.1,4.0,Дизайнерский
9280,35400000.0,Вторичноё жильё,Зюзино,8.0,Москва,3.0,118.4,62.0,16.0,5.0,Европейский стиль
9279,68990000.0,Вторичноё жильё,Молодежная,7.0,Москва,3.0,92.0,58.0,20.0,19.0,Европейский стиль
9278,17600000.0,Вторичноё жильё,Беляево,22.0,Москва,3.0,65.1,46.7,8.0,14.0,Без ремонта
9281,22000000.0,Вторичноё жильё,Сетунь,27.0,Москва,3.0,81.1,43.1,13.3,5.0,Косметический
9312,39000000.0,Вторичноё жильё,Таганская,6.0,Москва,3.0,78.7,45.6,9.2,7.0,Косметический
18351,9206680.0,Новостройка,Жулебино,8.0,Московская область,3.0,70.28,36.4,13.6,22.0,Косметический
18345,10008517.0,Новостройка,Красногвардейская,5.0,Московская область,3.0,82.9,44.0,13.5,4.0,Косметический
20079,20664600.0,Новостройка,Аннино,7.0,Москва,3.0,111.0,58.3,15.8,8.0,Европейский стиль
20034,9144134.0,Новостройка,Жулебино,13.0,Московская область,3.0,74.12,45.7,11.5,5.0,Косметический
9275,28500000.0,Вторичноё жильё,Мичуринский проспект,18.0,Москва,3.0,82.0,45.0,15.0,8.0,Европейский стиль
9274,23000000.0,Вторичноё жильё,Верхние Лихоборы,7.0,Москва,3.0,72.4,45.0,10.0,2.0,Косметический
9273,18989000.0,Вторичноё жильё,Медведково,9.0,Москва,3.0,72.1,44.9,9.4,1.0,Косметический
9272,18500000.0,Вторичноё жильё,Новокосино,13.0,Москва,3.0,73.3,44.3,10.0,14.0,Европейский стиль
9271,34000000.0,Вторичноё жильё,Коломенская,12.0,Москва,3.0,81.5,49.3,12.0,4.0,Европейский стиль
9270,18390000.0,Вторичноё жильё,Профсоюзная,4.0,Москва,3.0,54.4,36.4,5.2,4.0,Европейский стиль
9269,20500000.0,Вторичноё жильё,Битцевский Парк,15.0,Москва,3.0,78.0,36.0,18.0,10.0,Европейский стиль
9268,23800000.0,Вторичноё жильё,Октябрьское поле,16.0,Москва,3.0,65.0,51.0,9.0,16.0,Без ремонта
9267,25500000.0,Вторичноё жильё,Рязанский проспект,10.0,Москва,3.0,64.0,45.0,7.0,7.0,Дизайнерский
9266,23200000.0,Вторичноё жильё,Бабушкинская,23.0,Москва,3.0,89.0,58.5,10.3,12.0,Косметический
9302,77900000.0,Вторичноё жильё,Выставочная,10.0,Москва,3.0,86.0,51.0,15.0,4.0,Дизайнерский
9301,34990000.0,Вторичноё жильё,Комсомольская,7.0,Москва,3.0,92.0,67.1,9.5,4.0,Без ремонта
9293,57000000.0,Вторичноё жильё,Динамо,8.0,Москва,3.0,95.0,50.2,14.5,8.0,Европейский стиль
9292,106000000.0,Вторичноё жильё,Маяковская,3.0,Москва,3.0,150.0,78.0,10.0,5.0,Дизайнерский
20024,10845995.0,Новостройка,Зябликово,7.0,Московская область,3.0,75.4,41.0,12.3,14.0,Косметический
20018,10629918.0,Новостройка,Зябликово,7.0,Московская область,3.0,75.4,41.0,12.3,8.0,Косметический
9291,175000000.0,Вторичноё жильё,Кропоткинская,9.0,Москва,3.0,153.0,79.5,19.3,4.0,Дизайнерский
9290,23000000.0,Вторичноё жильё,Щелковская,15.0,Москва,3.0,72.2,46.7,8.8,5.0,Европейский стиль
9289,17000000.0,Вторичноё жильё,Коптево,18.0,Москва,3.0,61.9,38.8,8.7,6.0,Косметический
9288,18500000.0,Вторичноё жильё,Кузьминки,12.0,Москва,3.0,74.6,45.2,15.0,13.0,Европейский стиль
